id,aluno_id,disciplina,media_final,percentual_presenca,ano_letivo
847cf533-aaa1-42dd-8fe3-3f58d0a896d0,4fc828a4-fd02-40d2-afbd-af4c70240688,Matemática,4.5,69,2026
2fe8b97c-2b44-4c91-ae0b-11a90053a00f,4fc828a4-fd02-40d2-afbd-af4c70240688,Português,3.3,79,2026
2186f6ae-3318-4d59-b154-faf226fc8642,4fc828a4-fd02-40d2-afbd-af4c70240688,História,3.4,59,2026
2e8e11fd-4482-4c88-8600-12fc8bb39c31,4fc828a4-fd02-40d2-afbd-af4c70240688,Física,6.3,93,2026
e5dc4603-7902-4b6b-9bb8-a7ec481338ee,4fc828a4-fd02-40d2-afbd-af4c70240688,Química,10,93,2026
42756f86-5565-4c92-b564-76986a8ed8ef,57058922-8097-4145-bee9-96ad8ce5627e,Matemática,4.9,55,2026
6e2b13dd-0668-4fae-b5db-059ef3e19be4,57058922-8097-4145-bee9-96ad8ce5627e,Português,8.6,82,2026
f08bc69c-5441-45e7-b3ee-43d03854c281,57058922-8097-4145-bee9-96ad8ce5627e,História,9.1,95,2026
ff33cee1-9c0b-403e-a539-62153101a06a,57058922-8097-4145-bee9-96ad8ce5627e,Física,7.7,73,2026
1f8c1ba3-77b4-41f1-a950-eccce09a5074,57058922-8097-4145-bee9-96ad8ce5627e,Química,3.4,79,2026
9903f28e-57a5-4683-b333-d4bb4bf09273,511aecbf-fe77-4de2-91aa-b1103732f135,Matemática,9.3,92,2026
5aa6a1f6-2e60-4f44-acc9-aa5e526f6986,511aecbf-fe77-4de2-91aa-b1103732f135,Português,7,92,2026
e145b431-1a00-4802-8cbf-c30a753acb39,511aecbf-fe77-4de2-91aa-b1103732f135,História,6.9,80,2026
88d00284-4b8b-4c30-b3ed-2a74d7a22040,511aecbf-fe77-4de2-91aa-b1103732f135,Física,10,95,2026
c83c02fe-2a7e-4d50-8d68-3934ae91a2ec,511aecbf-fe77-4de2-91aa-b1103732f135,Química,3.9,98,2026
dad8f76f-2eb9-4c0b-ad2b-10c0fe415265,29fee9a5-4344-4c2f-8bab-e818eaeeb0a6,Matemática,9,84,2026
a7b31951-e5f2-4d23-a796-52eeb23c3918,29fee9a5-4344-4c2f-8bab-e818eaeeb0a6,Português,6.4,96,2026
2a0e3c2e-0fe2-4fe2-94b0-675f5b27ebfd,29fee9a5-4344-4c2f-8bab-e818eaeeb0a6,História,1.9,93,2026
dc2de604-e28d-460c-a6b8-6390c9d0bbd2,29fee9a5-4344-4c2f-8bab-e818eaeeb0a6,Física,6,81,2026
0987aa2a-124d-4c2f-983b-25510273b224,29fee9a5-4344-4c2f-8bab-e818eaeeb0a6,Química,3,76,2026
cac28e04-c02b-44e9-8061-748ac336040d,58425a78-23c7-43dc-a02c-503cd774dd2e,Matemática,10,76,2026
7c001c94-6b10-473b-9deb-339d731755be,58425a78-23c7-43dc-a02c-503cd774dd2e,Português,10,100,2026
53dea3ff-eb95-4363-b3b4-9a17cf94499c,58425a78-23c7-43dc-a02c-503cd774dd2e,História,6.2,88,2026
6970ea20-0aa6-4c02-95a8-513812dd0770,58425a78-23c7-43dc-a02c-503cd774dd2e,Física,9.2,76,2026
3bfdebed-3cfb-42ab-9a0d-4c878522c7d5,58425a78-23c7-43dc-a02c-503cd774dd2e,Química,4.3,82,2026
6c28203e-61ce-4805-9edb-18e0ad32dd70,6fcfec10-c24f-4463-97c5-983dc33b92db,Matemática,9.7,83,2026
f0e520f5-dec2-47dd-a993-0c9c1c1b3856,6fcfec10-c24f-4463-97c5-983dc33b92db,Português,8.9,90,2026
93b84e48-f382-4aea-8ac9-e702d62a2fbb,6fcfec10-c24f-4463-97c5-983dc33b92db,História,6.4,91,2026
